,Label,Row,Intervals
24,12-24,"[0, 1, 3, 10, 2, 5, 11, 7, 4, 9, 8, 6]",[ 1  2  7  4  3  6  8  9  5 11 10  6]
25,12-25S,"[0, 1, 3, 10, 2, 5, 11, 8, 4, 9, 7, 6]",[ 1  2  7  4  3  6  9  8  5 10 11  6]
26,12-26,"[0, 1, 3, 10, 2, 8, 11, 7, 5, 4, 9, 6]",[ 1  2  7  4  6  3  8 10 11  5  9  6]
27,12-27S,"[0, 1, 3, 10, 2, 11, 5, 8, 4, 9, 7, 6]",[ 1  2  7  4  9  6  3  8  5 10 11  6]
28,12-28,"[0, 1, 3, 10, 4, 8, 11, 9, 5, 2, 7, 6]",[ 1  2  7  6  4  3 10  8  9  5 11  6]
29,12-29,"[0, 1, 3, 10, 4, 9, 8, 11, 7, 5, 2, 6]",[ 1  2  7  6  5 11  3  8 10  9  4  6]
30,12-30,"[0, 1, 3, 10, 8, 7, 4, 9, 5, 11, 2, 6]",[ 1  2  7 10 11  9  5  8  6  3  4  6]
31,12-31,"[0, 1, 3, 10, 9, 2, 5, 11, 7, 4, 8, 6]",[ 1  2  7 11  5  3  6  8  9  4 10  6]
32,12-32,"[0, 1, 3, 10, 9, 5, 11, 2, 7, 4, 8, 6]",[ 1  2  7 11  8  6  3  5  9  4 10  6]
33,12-33,"[0, 1, 3, 11, 2, 7, 4, 10, 5, 9, 8, 6]",[ 1  2  8  3  5  9  6  7  4 11 10  6]
34,12-34,"[0, 1, 3, 11, 4, 10, 7, 2, 5, 9, 8, 6]",[ 1  2  8  5  6  9  7  3  4 11 10  6]
35,12-35,"[0, 1, 3, 11, 4, 10, 8, 7, 2, 5, 9, 6]",[ 1  2  8  5  6 10 11  7  3  4  9  6]
36,12-36,"[0, 1, 3, 11, 4, 2, 8, 7, 10, 5, 9, 6]",[ 1  2  8  5 10  6 11  3  7  4  9  6]
37,12-37,"[0, 1, 3, 11, 5, 2, 7, 10, 9, 4, 8, 6]",[ 1  2  8  6  9  5  3 11  7  4 10  6]
38,12-38,"[0, 1, 3, 11, 9, 4, 8, 2, 5, 10, 7, 6]",[ 1  2  8 10  7  4  6  3  5  9 11  6]
39,12-39,"[0, 1, 3, 11, 9, 8, 5, 10, 4, 7, 2, 6]",[ 1  2  8 10 11  9  5  6  3  7  4  6]
40,12-40,"[0, 1, 3, 2, 7, 10, 8, 4, 11, 5, 9, 6]",[ 1  2 11  5  3 10  8  7  6  4  9  6]
41,12-41,"[0, 1, 3, 2, 9, 5, 10, 4, 7, 11, 8, 6]",[ 1  2 11  7  8  5  6  3  4  9 10  6]
42,12-42,"[0, 1, 3, 2, 9, 7, 4, 8, 11, 5, 10, 6]",[ 1  2 11  7 10  9  4  3  6  5  8  6]
43,12-43,"[0, 1, 4, 8, 10, 5, 3, 9, 2, 11, 7, 6]",[ 1  3  4  2  7 10  6  5  9  8 11  6]
44,12-44S,"[0, 1, 4, 8, 3, 5, 11, 9, 2, 10, 7, 6]",[ 1  3  4  7  2  6 10  5  8  9 11  6]
45,12-45,"[0, 1, 4, 8, 7, 9, 2, 11, 5, 3, 10, 6]",[ 1  3  4 11  2  5  9  6 10  7  8  6]
46,12-46L,"[0, 1, 4, 8, 7, 2, 10, 3, 5, 11, 9, 6]",[ 1  3  4 11  7  8  5  2  6 10  9  6]
47,12-47L,"[0, 1, 4, 8, 7, 2, 11, 9, 3, 5, 10, 6]",[ 1  3  4 11  7  9 10  6  2  5  8  6]
48,12-48,"[0, 1, 4, 8, 7, 5, 2, 10, 3, 9, 11, 6]",[ 1  3  4 11 10  9  8  5  6  2  7  6]
49,12-49,"[0, 1, 4, 9, 11, 5, 2, 10, 8, 3, 7, 6]",[ 1  3  5  2  6  9  8 10  7  4 11  6]
50,12-50,"[0, 1, 4, 9, 11, 8, 2, 10, 5, 3, 7, 6]",[ 1  3  5  2  9  6  8  7 10  4 11  6]
51,12-51,"[0, 1, 4, 9, 3, 5, 2, 10, 8, 7, 11, 6]",[ 1  3  5  6  2  9  8 10 11  4  7  6]
52,12-52,"[0, 1, 4, 9, 3, 11, 10, 8, 5, 7, 2, 6]",[ 1  3  5  6  8 11 10  9  2  7  4  6]
53,12-53,"[0, 1, 4, 9, 3, 2, 10, 5, 7, 11, 8, 6]",[ 1  3  5  6 11  8  7  2  4  9 10  6]
54,12-54,"[0, 1, 4, 9, 3, 2, 10, 8, 5, 7, 11, 6]",[ 1  3  5  6 11  8 10  9  2  4  7  6]
55,12-55,"[0, 1, 4, 9, 5, 3, 2, 8, 10, 7, 11, 6]",[ 1  3  5  8 10 11  6  2  9  4  7  6]
56,12-56,"[0, 1, 4, 10, 2, 7, 9, 8, 5, 3, 11, 6]",[ 1  3  6  4  5  2 11  9 10  8  7  6]
57,12-57,"[0, 1, 4, 10, 3, 11, 9, 8, 5, 7, 2, 6]",[ 1  3  6  5  8 10 11  9  2  7  4  6]
58,12-58,"[0, 1, 4, 10, 3, 2, 9, 5, 7, 11, 8, 6]",[ 1  3  6  5 11  7  8  2  4  9 10  6]
59,12-59L,"[0, 1, 4, 10, 5, 3, 11, 8, 7, 9, 2, 6]",[ 1  3  6  7 10  8  9 11  2  5  4  6]
60,12-60,"[0, 1, 4, 10, 8, 3, 5, 9, 2, 11, 7, 6]",[ 1  3  6 10  7  2  4  5  9  8 11  6]
61,12-61,"[0, 1, 4, 10, 8, 7, 3, 5, 9, 2, 11, 6]",[ 1  3  6 10 11  8  2  4  5  9  7  6]
62,12-62,"[0, 1, 4, 10, 9, 5, 7, 2, 11, 3, 8, 6]",[ 1  3  6 11  8  2  7  9  4  5 10  6]
63,12-63,"[0, 1, 4, 11, 3, 9, 2, 10, 8, 5, 7, 6]",[ 1  3  7  4  6  5  8 10  9  2 11  6]
64,12-64,"[0, 1, 4, 11, 5, 2, 10, 3, 7, 9, 8, 6]",[ 1  3  7  6  9  8  5  4  2 11 10  6]
65,12-65,"[0, 1, 4, 11, 9, 5, 2, 8, 10, 3, 7, 6]",[ 1  3  7 10  8  9  6  2  5  4 11  6]
66,12-66,"[0, 1, 4, 11, 10, 3, 7, 9, 5, 2, 8, 6]",[ 1  3  7 11  5  4  2  8  9  6 10  6]
67,12-67,"[0, 1, 4, 11, 10, 7, 9, 5, 3, 8, 2, 6]",[ 1  3  7 11  9  2  8 10  5  6  4  6]
68,12-68L,"[0, 1, 4, 11, 10, 7, 3, 5, 9, 2, 8, 6]",[ 1  3  7 11  9  8  2  4  5  6 10  6]
69,12-69,"[0, 1, 4, 11, 10, 8, 2, 7, 3, 5, 9, 6]",[ 1  3  7 11 10  6  5  8  2  4  9  6]
70,12-70,"[0, 1, 4, 11, 10, 8, 5, 7, 3, 9, 2, 6]",[ 1  3  7 11 10  9  2  8  6  5  4  6]
71,12-71,"[0, 1, 4, 2, 7, 9, 8, 5, 11, 3, 10, 6]",[ 1  3 10  5  2 11  9  6  4  7  8  6]
72,12-72,"[0, 1, 4, 2, 9, 3, 8, 5, 7, 11, 10, 6]",[ 1  3 10  7  6  5  9  2  4 11  8  6]
73,12-73S,"[0, 1, 4, 2, 9, 5, 11, 3, 8, 10, 7, 6]",[ 1  3 10  7  8  6  4  5  2  9 11  6]
74,12-74,"[0, 1, 4, 2, 9, 5, 11, 8, 10, 3, 7, 6]",[ 1  3 10  7  8  6  9  2  5  4 11  6]
75,12-75,"[0, 1, 4, 2, 10, 3, 7, 9, 8, 5, 11, 6]",[ 1  3 10  8  5  4  2 11  9  6  7  6]
76,12-76P,"[0, 1, 4, 2, 10, 3, 9, 8, 5, 7, 11, 6]",[ 1  3 10  8  5  6 11  9  2  4  7  6]
77,12-77,"[0, 1, 4, 2, 10, 5, 11, 3, 8, 7, 9, 6]",[ 1  3 10  8  7  6  4  5 11  2  9  6]
78,12-78,"[0, 1, 4, 2, 10, 9, 3, 8, 5, 7, 11, 6]",[ 1  3 10  8 11  6  5  9  2  4  7  6]
79,12-79,"[0, 1, 4, 3, 7, 9, 2, 10, 5, 11, 8, 6]",[ 1  3 11  4  2  5  8  7  6  9 10  6]
80,12-80,"[0, 1, 4, 3, 7, 9, 2, 10, 8, 5, 11, 6]",[ 1  3 11  4  2  5  8 10  9  6  7  6]
81,12-81,"[0, 1, 4, 3, 7, 9, 5, 10, 8, 2, 11, 6]",[ 1  3 11  4  2  8  5 10  6  9  7  6]
82,12-82,"[0, 1, 4, 3, 8, 2, 10, 5, 7, 11, 9, 6]",[ 1  3 11  5  6  8  7  2  4 10  9  6]
83,12-83,"[0, 1, 4, 3, 8, 2, 10, 7, 5, 9, 11, 6]",[ 1  3 11  5  6  8  9 10  4  2  7  6]
84,12-84,"[0, 1, 4, 3, 9, 2, 10, 5, 7, 11, 8, 6]",[ 1  3 11  6  5  8  7  2  4  9 10  6]
85,12-85,"[0, 1, 4, 3, 9, 2, 10, 8, 5, 7, 11, 6]",[ 1  3 11  6  5  8 10  9  2  4  7  6]
86,12-86,"[0, 1, 4, 3, 10, 2, 7, 9, 5, 11, 8, 6]",[ 1  3 11  7  4  5  2  8  6  9 10  6]
87,12-87,"[0, 1, 4, 3, 10, 8, 5, 11, 7, 9, 2, 6]",[ 1  3 11  7 10  9  6  8  2  5  4  6]
88,12-88P,"[0, 1, 5, 7, 10, 3, 9, 8, 4, 2, 11, 6]",[ 1  4  2  3  5  6 11  8 10  9  7  6]
89,12-89,"[0, 1, 5, 7, 10, 3, 2, 8, 4, 11, 9, 6]",[ 1  4  2  3  5 11  6  8  7 10  9  6]
90,12-90,"[0, 1, 5, 7, 10, 8, 4, 9, 3, 2, 11, 6]",[ 1  4  2  3 10  8  5  6 11  9  7  6]
91,12-91,"[0, 1, 5, 7, 10, 8, 4, 3, 9, 2, 11, 6]",[ 1  4  2  3 10  8 11  6  5  9  7  6]
92,12-92,"[0, 1, 5, 7, 10, 9, 3, 8, 4, 2, 11, 6]",[ 1  4  2  3 11  6  5  8 10  9  7  6]
